"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","177","157463","0.0-5.0-2.49","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","178","157975","0.0-5.0-0.50","","fixation","","","","","","","","","","",""
"514","","y","psychophysics","179","159020","0.0-5.0-1.50","","response","Y","true","key","y","16.68367741935541","500","400","Yellow","Yellow","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","180","159523","0.0-5.0-2.50","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","181","160036","0.0-5.0-0.51","","fixation","","","","","","","","","","",""
"901","","r","psychophysics","182","161450","0.0-5.0-1.51","","response","R","true","key","r","16.683851851851582","500","400","Red","Green","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","183","161963","0.0-5.0-2.51","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","184","162467","0.0-5.0-0.52","","fixation","","","","","","","","","","",""
"1061","","b","psychophysics","185","164043","0.0-5.0-1.52","","response","B","true","key","b","16.6833906249999","500","400","Blue","Green","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","186","164545","0.0-5.0-2.52","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","187","165050","0.0-5.0-0.53","","fixation","","","","","","","","","","",""
"707","","r","psychophysics","188","166274","0.0-5.0-1.53","","response","R","true","key","r","16.684047619047867","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","189","166789","0.0-5.0-2.53","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","190","167295","0.0-5.0-0.54","","fixation","","","","","","","","","","",""
"659","","g","psychophysics","191","168474","0.0-5.0-1.54","","response","G","true","key","g","16.684410256409766","500","400","Green","Green","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","192","168979","0.0-5.0-2.54","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","193","169487","0.0-5.0-0.55","","fixation","","","","","","","","","","",""
"932","","r","psychophysics","194","170931","0.0-5.0-1.55","","response","B","false","key","r","16.683821428571328","500","400","Blue","Blue","true","1000000"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","195","171432","0.0-5.0-2.55","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","196","171944","0.0-5.0-0.56","","fixation","","","","","","","","","","",""
"764","","r","psychophysics","197","173219","0.0-5.0-1.56","","response","R","true","key","r","16.68343478260858","500","400","Red","Blue","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","198","173728","0.0-5.0-2.56","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","199","174247","0.0-5.0-0.57","","fixation","","","","","","","","","","",""
"441","","b","psychophysics","200","175211","0.0-5.0-1.57","","response","B","true","key","b","16.68503846153908","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","201","175719","0.0-5.0-2.57","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","202","176230","0.0-5.0-0.58","","fixation","","","","","","","","","","",""
"935","","b","psychophysics","203","177674","0.0-5.0-1.58","","response","B","true","key","b","16.683660714285775","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","204","178186","0.0-5.0-2.58","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","205","178697","0.0-5.0-0.59","","fixation","","","","","","","","","","",""
"731","","r","psychophysics","206","179939","0.0-5.0-1.59","","response","R","true","key","r","16.682931818181796","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","207","180459","0.0-5.0-2.59","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","208","180966","0.0-5.0-0.60","","fixation","","","","","","","","","","",""
"519","","y","psychophysics","209","182002","0.0-5.0-1.60","","response","Y","true","key","y","16.68409677419338","500","400","Yellow","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","210","182506","0.0-5.0-2.60","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","211","183018","0.0-5.0-0.61","","fixation","","","","","","","","","","",""
"715","","b","psychophysics","212","184251","0.0-5.0-1.61","","response","B","true","key","b","16.683023255813847","500","400","Blue","Yellow","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","213","184760","0.0-5.0-2.61","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","214","185273","0.0-5.0-0.62","","fixation","","","","","","","","","","",""
"904","","r","psychophysics","215","186691","0.0-5.0-1.62","","response","R","true","key","r","16.68450000000033","500","400","Red","Yellow","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","216","187203","0.0-5.0-2.62","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","217","187716","0.0-5.0-0.63","","fixation","","","","","","","","","","",""
"757","","g","psychophysics","218","188995","0.0-5.0-1.63","","response","G","true","key","g","16.68284444444386","500","400","Green","Red","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","219","189506","0.0-5.0-2.63","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","220","190017","0.0-5.0-0.64","","fixation","","","","","","","","","","",""
"532","","g","psychophysics","221","191053","0.0-5.0-1.64","","response","G","true","key","g","16.682843749999847","500","400","Green","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","222","191558","0.0-5.0-2.64","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","223","192074","0.0-5.0-0.65","","fixation","","","","","","","","","","",""
"425","","g","psychophysics","224","193010","0.0-5.0-1.65","","response","G","true","key","g","17.35212000000058","500","400","Green","Green","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","225","193520","0.0-5.0-2.65","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","226","194031","0.0-5.0-0.66","","fixation","","","","","","","","","","",""
"1380","","b","psychophysics","227","195924","0.0-5.0-1.66","","response","B","true","key","b","16.68350602409638","500","400","Blue","Yellow","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","228","196440","0.0-5.0-2.66","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","229","196952","0.0-5.0-0.67","","fixation","","","","","","","","","","",""
"802","","g","psychophysics","230","198260","0.0-5.0-1.67","","response","G","true","key","g","16.68420833333342","500","400","Green","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","231","198763","0.0-5.0-2.67","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","232","199269","0.0-5.0-0.68","","fixation","","","","","","","","","","",""
"686","","y","psychophysics","233","200467","0.0-5.0-1.68","","response","Y","true","key","y","16.68368292682898","500","400","Yellow","Yellow","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","234","200975","0.0-5.0-2.68","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","201487","0.0-5.0-0.69","","fixation","","","","","","","","","","",""
"758","","b","psychophysics","236","202754","0.0-5.0-1.69","","response","B","true","key","b","16.682466666666247","500","400","Blue","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","237","203261","0.0-5.0-2.69","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","238","203774","0.0-5.0-0.70","","fixation","","","","","","","","","","",""
"720","","g","psychophysics","239","205010","0.0-5.0-1.70","","response","G","true","key","g","16.683767441860507","500","400","Green","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","240","205524","0.0-5.0-2.70","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","241","206033","0.0-5.0-0.71","","fixation","","","","","","","","","","",""
"757","","y","psychophysics","242","207322","0.0-5.0-1.71","","response","Y","true","key","y","17.046260869565153","500","400","Yellow","Green","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","243","207825","0.0-5.0-2.71","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","244","208335","0.0-5.0-0.72","","fixation","","","","","","","","","","",""
"720","","r","psychophysics","245","209571","0.0-5.0-1.72","","response","R","true","key","r","16.67223809523802","500","400","Red","Red","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","246","210085","0.0-5.0-2.72","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","247","210602","0.0-5.0-0.73","","fixation","","","","","","","","","","",""
"866","","g","psychophysics","248","211988","0.0-5.0-1.73","","response","G","true","key","g","17.009960784313186","500","400","Green","Blue","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","249","212495","0.0-5.0-2.73","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","250","213004","0.0-5.0-0.74","","fixation","","","","","","","","","","",""
"478","","g","psychophysics","251","213994","0.0-5.0-1.74","","response","G","true","key","g","16.684068965516857","500","400","Green","Green","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","252","214508","0.0-5.0-2.74","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","253","215020","0.0-5.0-0.75","","fixation","","","","","","","","","","",""
"447","","g","psychophysics","254","215988","0.0-5.0-1.75","","response","G","true","key","g","16.687962962962317","500","400","Green","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","255","216497","0.0-5.0-2.75","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","256","217011","0.0-5.0-0.76","","fixation","","","","","","","","","","",""
"438","","g","psychophysics","257","217970","0.0-5.0-1.76","","response","G","true","key","g","16.682807692307577","500","400","Green","Green","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","258","218483","0.0-5.0-2.76","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","259","218994","0.0-5.0-0.77","","fixation","","","","","","","","","","",""
"622","","r","psychophysics","260","220123","0.0-5.0-1.77","","response","R","true","key","r","16.68427027027025","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","261","220639","0.0-5.0-2.77","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","262","221151","0.0-5.0-0.78","","fixation","","","","","","","","","","",""
"626","","y","psychophysics","263","222291","0.0-5.0-1.78","","response","Y","true","key","y","16.683081081081212","500","400","Yellow","Yellow","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","264","222802","0.0-5.0-2.78","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","265","223315","0.0-5.0-0.79","","fixation","","","","","","","","","","",""
"807","","g","psychophysics","266","224628","0.0-5.0-1.79","","response","G","true","key","g","16.684666666666697","500","400","Green","Yellow","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","267","225144","0.0-5.0-2.79","","","","","","","","","","","","",""
"2358","","{""P0_Q0"":null,""feedback-feel"":"""",""feedback-suggestion"":""""}","survey","268","227607","0.0-6.0","[]","","","","","","","","","","","",""
