"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","333515","0.0-5.0-0.69","","fixation","","","","","","","","","",""
"1886","","g","psychophysics","236","335917","0.0-5.0-1.69","","response","G","true","key","g","16.683070175438555","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","237","336420","0.0-5.0-2.69","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","238","336922","0.0-5.0-0.70","","fixation","","","","","","","","","",""
"1017","","g","psychophysics","239","338452","0.0-5.0-1.70","","response","G","true","key","g","16.68298360655756","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","240","338955","0.0-5.0-2.70","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","241","339457","0.0-5.0-0.71","","fixation","","","","","","","","","",""
"780","","y","psychophysics","242","340751","0.0-5.0-1.71","","response","Y","true","key","y","16.68255319148847","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","243","341255","0.0-5.0-2.71","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","244","341758","0.0-5.0-0.72","","fixation","","","","","","","","","",""
"1172","","r","psychophysics","245","343443","0.0-5.0-1.72","","response","R","true","key","r","16.682183098591516","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","246","343946","0.0-5.0-2.72","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","247","344462","0.0-5.0-0.73","","fixation","","","","","","","","","",""
"1381","","b","psychophysics","248","346357","0.0-5.0-1.73","","response","B","true","key","b","16.88634146341455","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","249","346861","0.0-5.0-2.73","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","250","347363","0.0-5.0-0.74","","fixation","","","","","","","","","",""
"1691","","g","psychophysics","251","349576","0.0-5.0-1.74","","response","G","true","key","g","16.683825242718527","500","400","Green","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","252","350089","0.0-5.0-2.74","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","253","350593","0.0-5.0-0.75","","fixation","","","","","","","","","",""
"849","","y","psychophysics","254","351962","0.0-5.0-1.75","","response","Y","true","key","y","16.68274509803821","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","255","352464","0.0-5.0-2.75","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","256","352966","0.0-5.0-0.76","","fixation","","","","","","","","","",""
"613","","b","psychophysics","257","354103","0.0-5.0-1.76","","response","B","true","key","b","16.684026315789914","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","258","354614","0.0-5.0-2.76","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","259","355116","0.0-5.0-0.77","","fixation","","","","","","","","","",""
"1040","","r","psychophysics","260","356695","0.0-5.0-1.77","","response","R","true","key","r","16.945126984127064","500","400","Red","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","261","357211","0.0-5.0-2.77","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","262","357713","0.0-5.0-0.78","","fixation","","","","","","","","","",""
"1109","","y","psychophysics","263","359343","0.0-5.0-1.78","","response","Y","true","key","y","16.68444776119414","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","264","359843","0.0-5.0-2.78","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","265","360345","0.0-5.0-0.79","","fixation","","","","","","","","","",""
"823","","y","psychophysics","266","361677","0.0-5.0-1.79","","response","Y","true","key","y","16.68225999999908","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","267","362178","0.0-5.0-2.79","","","","","","","","","","","",""
"38338","","{""P0_Q0"":null,""feedback-feel"":""none"",""feedback-suggestion"":""too tired, too boring""}","survey","268","400586","0.0-6.0","[]","","","","","","","","","","",""
