"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent"
"582","","y","psychophysics","188","185937","0.0-5.0-1.53","","response","Y","true","key","y","8.329142857142974","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","189","186449","0.0-5.0-2.53","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","190","186964","0.0-5.0-0.54","","fixation","","","","","","","","","",""
"736","","b","psychophysics","191","188215","0.0-5.0-1.54","","response","B","true","key","b","8.325752808988746","500","400","Blue","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","192","188731","0.0-5.0-2.54","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","193","189239","0.0-5.0-0.55","","fixation","","","","","","","","","",""
"731","","y","psychophysics","194","190482","0.0-5.0-1.55","","response","Y","true","key","y","8.32569318181843","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","195","190988","0.0-5.0-2.55","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","196","191501","0.0-5.0-0.56","","fixation","","","","","","","","","",""
"732","","y","psychophysics","197","192747","0.0-5.0-1.56","","response","Y","true","key","y","8.323386363636184","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","198","193252","0.0-5.0-2.56","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","199","193759","0.0-5.0-0.57","","fixation","","","","","","","","","",""
"875","","r","psychophysics","200","195146","0.0-5.0-1.57","","response","R","true","key","r","8.323857142857188","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","201","195658","0.0-5.0-2.57","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","202","196172","0.0-5.0-0.58","","fixation","","","","","","","","","",""
"684","","b","psychophysics","203","197370","0.0-5.0-1.58","","response","B","true","key","b","8.325792682926787","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","204","197880","0.0-5.0-2.58","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","205","198395","0.0-5.0-0.59","","fixation","","","","","","","","","",""
"778","","r","psychophysics","206","199687","0.0-5.0-1.59","","response","R","true","key","r","8.324499999999968","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","207","200189","0.0-5.0-2.59","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","208","200694","0.0-5.0-0.60","","fixation","","","","","","","","","",""
"941","","g","psychophysics","209","202146","0.0-5.0-1.60","","response","G","true","key","g","8.325469026548594","500","400","Green","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","210","202659","0.0-5.0-2.60","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","211","203167","0.0-5.0-0.61","","fixation","","","","","","","","","",""
"760","","b","psychophysics","212","204437","0.0-5.0-1.61","","response","B","true","key","b","8.325879120879108","500","400","Blue","Blue","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","213","204950","0.0-5.0-2.61","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","214","205463","0.0-5.0-0.62","","fixation","","","","","","","","","",""
"798","","y","psychophysics","215","206775","0.0-5.0-1.62","","response","Y","true","key","y","8.32558333333327","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","216","207281","0.0-5.0-2.62","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","217","207794","0.0-5.0-0.63","","fixation","","","","","","","","","",""
"652","","r","psychophysics","218","208960","0.0-5.0-1.63","","response","R","true","key","r","8.323860759493568","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","219","209462","0.0-5.0-2.63","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","220","209969","0.0-5.0-0.64","","fixation","","","","","","","","","",""
"1243","","r","psychophysics","221","211725","0.0-5.0-1.64","","response","R","true","key","r","8.32496000000004","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","222","212234","0.0-5.0-2.64","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","223","212748","0.0-5.0-0.65","","fixation","","","","","","","","","",""
"437","","r","psychophysics","224","213699","0.0-5.0-1.65","","response","R","true","key","r","8.326283018868022","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","225","214207","0.0-5.0-2.65","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","226","214715","0.0-5.0-0.66","","fixation","","","","","","","","","",""
"453","","r","psychophysics","227","215679","0.0-5.0-1.66","","response","R","true","key","r","8.323090909090718","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","228","216180","0.0-5.0-2.66","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","229","216694","0.0-5.0-0.67","","fixation","","","","","","","","","",""
"755","","y","psychophysics","230","217964","0.0-5.0-1.67","","response","Y","true","key","y","8.32554945054945","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","231","218477","0.0-5.0-2.67","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","232","218985","0.0-5.0-0.68","","fixation","","","","","","","","","",""
"1099","","g","psychophysics","233","220603","0.0-5.0-1.68","","response","G","true","key","g","8.325446969696989","500","400","Green","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","234","221109","0.0-5.0-2.68","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","221616","0.0-5.0-0.69","","fixation","","","","","","","","","",""
"819","","g","psychophysics","236","222947","0.0-5.0-1.69","","response","G","true","key","g","8.324141414141378","500","400","Green","Green","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","237","223457","0.0-5.0-2.69","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","238","223972","0.0-5.0-0.70","","fixation","","","","","","","","","",""
"900","","y","psychophysics","239","225384","0.0-5.0-1.70","","response","Y","true","key","y","8.325824074074195","500","400","Yellow","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","240","225896","0.0-5.0-2.70","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","241","226403","0.0-5.0-0.71","","fixation","","","","","","","","","",""
"788","","y","psychophysics","242","227701","0.0-5.0-1.71","","response","Y","true","key","y","8.323021052631635","500","400","Yellow","Red","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","243","228203","0.0-5.0-2.71","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","244","228709","0.0-5.0-0.72","","fixation","","","","","","","","","",""
"697","","y","psychophysics","245","229917","0.0-5.0-1.72","","response","Y","true","key","y","8.326464285714403","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","246","230433","0.0-5.0-2.72","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","247","230947","0.0-5.0-0.73","","fixation","","","","","","","","","",""
"755","","r","psychophysics","248","232217","0.0-5.0-1.73","","response","R","true","key","r","8.325692307692377","500","400","Red","Yellow","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","249","232730","0.0-5.0-2.73","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","250","233245","0.0-5.0-0.74","","fixation","","","","","","","","","",""
"728","","y","psychophysics","251","234487","0.0-5.0-1.74","","response","Y","true","key","y","8.325579545454358","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","252","234992","0.0-5.0-2.74","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","253","235503","0.0-5.0-0.75","","fixation","","","","","","","","","",""
"784","","r","psychophysics","254","236800","0.0-5.0-1.75","","response","R","true","key","r","8.325638297872501","500","400","Red","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","255","237301","0.0-5.0-2.75","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","256","237810","0.0-5.0-0.76","","fixation","","","","","","","","","",""
"483","","r","psychophysics","257","238804","0.0-5.0-1.76","","response","R","true","key","r","8.327793103448569","500","400","Red","Red","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","258","239315","0.0-5.0-2.76","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","259","239830","0.0-5.0-0.77","","fixation","","","","","","","","","",""
"848","","g","psychophysics","260","241191","0.0-5.0-1.77","","response","G","true","key","g","8.32843137254902","500","400","Green","Blue","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","261","241698","0.0-5.0-2.77","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","262","242211","0.0-5.0-0.78","","fixation","","","","","","","","","",""
"893","","y","psychophysics","263","243616","0.0-5.0-1.78","","response","Y","true","key","y","8.323962616822334","500","400","Yellow","Yellow","true"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","264","244128","0.0-5.0-2.78","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","265","244642","0.0-5.0-0.79","","fixation","","","","","","","","","",""
"794","","b","psychophysics","266","245955","0.0-5.0-1.79","","response","B","true","key","b","8.413231578947192","500","400","Blue","Green","false"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","267","246460","0.0-5.0-2.79","","","","","","","","","","","",""
"24057","","{""P0_Q0"":null,""feedback-feel"":""Enjoyed the immediate feedback"",""feedback-suggestion"":""""}","survey","268","270538","0.0-6.0","[]","","","","","","","","","","",""
