"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","accuracy","task","correct_response","is_correct","response_type","key_press","avg_frame_time","center_x","center_y","color","text","is_congruent","duration"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","220","178310","0.0-5.0-0.64","","fixation","","","","","","","","","","",""
"650","","r","psychophysics","221","179471","0.0-5.0-1.64","","response","R","true","key","r","16.68342105263161","500","400","Red","Red","true","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","222","179979","0.0-5.0-2.64","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","223","180492","0.0-5.0-0.65","","fixation","","","","","","","","","","",""
"460","","r","psychophysics","224","181477","0.0-5.0-1.65","","response","R","true","key","r","16.685107142857824","500","400","Red","Red","true","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","225","181992","0.0-5.0-2.65","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","226","182503","0.0-5.0-0.66","","fixation","","","","","","","","","","",""
"654","","b","psychophysics","227","183670","0.0-5.0-1.66","","response","B","true","key","b","16.68315384615338","500","400","Blue","Green","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","228","184180","0.0-5.0-2.66","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","229","184696","0.0-5.0-0.67","","fixation","","","","","","","","","","",""
"584","","b","psychophysics","230","185797","0.0-5.0-1.67","","response","B","true","key","b","16.682399999999742","500","400","Blue","Blue","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","231","186301","0.0-5.0-2.67","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","232","186810","0.0-5.0-0.68","","fixation","","","","","","","","","","",""
"590","","y","psychophysics","233","187942","0.0-5.0-1.68","","response","G","false","key","y","16.682722222222463","500","400","Green","Yellow","false","100"
"null","<p style=""font-size:60pt"">Wrong</p>","null","html-keyboard-response","234","188454","0.0-5.0-2.68","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","235","188963","0.0-5.0-0.69","","fixation","","","","","","","","","","",""
"825","","y","psychophysics","236","190295","0.0-5.0-1.69","","response","Y","true","key","y","16.68469387755078","500","400","Yellow","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","237","190798","0.0-5.0-2.69","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","238","191308","0.0-5.0-0.70","","fixation","","","","","","","","","","",""
"787","","g","psychophysics","239","192613","0.0-5.0-1.70","","response","G","true","key","g","16.681617021277063","500","400","Green","Yellow","false","100"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","240","193116","0.0-5.0-2.70","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","241","193629","0.0-5.0-0.71","","fixation","","","","","","","","","","",""
"578","","r","psychophysics","242","194709","0.0-5.0-1.71","","response","R","true","key","r","16.683857142857075","500","400","Red","Yellow","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","243","195213","0.0-5.0-2.71","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","244","195727","0.0-5.0-0.72","","fixation","","","","","","","","","","",""
"1193","","g","psychophysics","245","197439","0.0-5.0-1.72","","response","G","true","key","g","16.687111111111236","500","400","Green","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","246","197949","0.0-5.0-2.72","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","247","198461","0.0-5.0-0.73","","fixation","","","","","","","","","","",""
"655","","y","psychophysics","248","199631","0.0-5.0-1.73","","response","Y","true","key","y","16.683589743589835","500","400","Yellow","Blue","false","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","249","200136","0.0-5.0-2.73","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","250","200648","0.0-5.0-0.74","","fixation","","","","","","","","","","",""
"756","","y","psychophysics","251","201918","0.0-5.0-1.74","","response","Y","true","key","y","16.684688888889244","500","400","Yellow","Red","false","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","252","202435","0.0-5.0-2.74","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","253","202949","0.0-5.0-0.75","","fixation","","","","","","","","","","",""
"521","","y","psychophysics","254","203982","0.0-5.0-1.75","","response","Y","true","key","y","16.68064516129051","500","400","Yellow","Yellow","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","255","204496","0.0-5.0-2.75","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","256","205009","0.0-5.0-0.76","","fixation","","","","","","","","","","",""
"704","","r","psychophysics","257","206222","0.0-5.0-1.76","","response","R","true","key","r","16.690285714285675","500","400","Red","Red","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","258","206724","0.0-5.0-2.76","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","259","207235","0.0-5.0-0.77","","fixation","","","","","","","","","","",""
"719","","g","psychophysics","260","208461","0.0-5.0-1.77","","response","G","true","key","g","16.68111627906978","500","400","Green","Red","false","1000000"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","261","208967","0.0-5.0-2.77","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","262","209469","0.0-5.0-0.78","","fixation","","","","","","","","","","",""
"645","","b","psychophysics","263","210639","0.0-5.0-1.78","","response","B","true","key","b","16.683950000000188","500","400","Blue","Blue","true","250"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","264","211151","0.0-5.0-2.78","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","265","211670","0.0-5.0-0.79","","fixation","","","","","","","","","","",""
"503","","g","psychophysics","266","212694","0.0-5.0-1.79","","response","G","true","key","g","16.68354838709685","500","400","Green","Green","true","25"
"null","<p style=""font-size:60pt"">Correct</p>","null","html-keyboard-response","267","213208","0.0-5.0-2.79","","","","","","","","","","","","",""
"2582","","{""P0_Q0"":null,""feedback-feel"":"""",""feedback-suggestion"":""""}","survey","268","215906","0.0-6.0","[]","","","","","","","","","","","",""
